latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
33.016,-79.883,302.9,1.3,1.1,2019-10-18,0340,T,52,6.0NRT,279.8,12.2,N
26.884,-101.451,311.6,1.7,1.3,2019-10-18,0520,T,83,6.0NRT,290,23.9,N
31.739,-101.797,313,1.8,1.3,2019-10-18,0520,T,86,6.0NRT,288.5,32,N
31.733,-101.803,303.9,1.8,1.3,2019-10-18,0520,T,57,6.0NRT,288.2,16.6,N
31.744,-101.805,302.9,1.8,1.3,2019-10-18,0520,T,52,6.0NRT,288.2,15.2,N
33.419,-110.859,308.8,1.1,1,2019-10-18,0520,T,76,6.0NRT,290.2,10.7,N
33.417,-110.87,325,1.1,1,2019-10-18,0520,T,100,6.0NRT,290.5,27.3,N
33.685,-109.627,310.3,1,1,2019-10-18,0520,T,60,6.0NRT,283.7,12.5,N
33.694,-109.629,312.6,1,1,2019-10-18,0520,T,85,6.0NRT,285.2,14.3,N
33.703,-109.631,305.4,1,1,2019-10-18,0520,T,64,6.0NRT,283.7,9.4,N
34.082,-110.052,308.4,1,1,2019-10-18,0520,T,40,6.0NRT,287,9.8,N
34.08,-110.063,318.8,1,1,2019-10-18,0520,T,97,6.0NRT,287.6,18.5,N
34.089,-110.065,305.5,1,1,2019-10-18,0520,T,28,6.0NRT,286.5,7.9,N
38.108,-107.593,316.7,1.1,1,2019-10-18,0520,T,83,6.0NRT,281.5,20.3,N
38.107,-107.604,334.8,1.1,1,2019-10-18,0520,T,100,6.0NRT,285.6,43.6,N
38.105,-107.616,311.2,1.1,1,2019-10-18,0520,T,66,6.0NRT,277.3,15.2,N
38.117,-107.594,346,1.1,1,2019-10-18,0520,T,100,6.0NRT,286.9,65.2,N
38.116,-107.606,377.7,1.1,1,2019-10-18,0520,T,100,6.0NRT,289.3,167,N
38.114,-107.618,321.1,1.1,1,2019-10-18,0520,T,100,6.0NRT,276.2,24.7,N
38.128,-107.584,313.2,1.1,1,2019-10-18,0520,T,87,6.0NRT,275.6,17.6,N
49.91,-115.16,303.2,1,1,2019-10-18,0525,T,54,6.0NRT,271.6,10.8,N
18.928,-70.354,323.4,1,1,2019-10-18,0625,A,100,6.0NRT,293.3,20.8,N
18.926,-70.345,314.4,1,1,2019-10-18,0625,A,89,6.0NRT,293.4,12.2,N
19.3,-92.158,308.2,1.1,1.1,2019-10-18,0800,A,40,6.0NRT,280,9.5,N
19.295,-92.165,308.7,1.1,1.1,2019-10-18,0800,A,53,6.0NRT,281.3,10.9,N
18.202,-94.004,301.6,1,1,2019-10-18,0800,A,25,6.0NRT,283.4,4.9,N
34.088,-110.056,302.8,1.5,1.2,2019-10-18,0935,A,52,6.0NRT,284.1,15,N
41.693,-70.138,305.9,1,1,2019-10-18,1540,T,54,6.0NRT,286.9,8.3,D
18.928,-70.339,311.7,2.3,1.5,2019-10-18,1550,T,29,6.0NRT,298.1,12.2,D
18.93,-70.345,312.8,2.3,1.5,2019-10-18,1550,T,60,6.0NRT,298.8,16.3,D
36.145,-77.933,313.8,1.5,1.2,2019-10-18,1545,T,74,6.0NRT,290,21.6,D
36.141,-77.94,305.2,1.5,1.2,2019-10-18,1545,T,57,6.0NRT,289.7,10,D
36.139,-77.924,304.9,1.5,1.2,2019-10-18,1545,T,54,6.0NRT,289.8,9.5,D
36.101,-80.894,314.8,2.2,1.4,2019-10-18,1545,T,75,6.0NRT,291.4,41.6,D
36.099,-80.869,302,2.2,1.4,2019-10-18,1545,T,50,6.0NRT,291.3,12.4,D
34.431,-80.097,302.4,1.9,1.3,2019-10-18,1545,T,52,6.0NRT,292.1,8.7,D
34.438,-80.104,306.1,1.9,1.3,2019-10-18,1545,T,63,6.0NRT,292.3,15,D
34.218,-82.803,309.7,2.8,1.6,2019-10-18,1545,T,60,6.0NRT,290.3,40.3,D
34.216,-82.773,325.1,2.8,1.6,2019-10-18,1545,T,0,6.0NRT,291.3,102,D
34.214,-82.779,328.2,2.8,1.6,2019-10-18,1545,T,65,6.0NRT,290.9,118.1,D
33.945,-82.179,319.8,2.5,1.5,2019-10-18,1545,T,80,6.0NRT,290.4,69,D
33.943,-82.152,303,2.5,1.5,2019-10-18,1545,T,55,6.0NRT,289.1,20.4,D
33.307,-80.703,310.5,2,1.4,2019-10-18,1545,T,70,6.0NRT,292.1,22.2,D
33.304,-80.709,306.5,2,1.4,2019-10-18,1545,T,64,6.0NRT,292.1,16.3,D
44.674,-93.591,300.4,1,1,2019-10-18,1720,T,36,6.0NRT,287.7,4.4,D
38.625,-96.187,369.1,1,1,2019-10-18,1720,T,100,6.0NRT,298.7,113,D
